Time,PM10,
2019-05-15T18:00:00,6.61139,
2019-05-15T19:00:00,6.32129,
2019-05-15T20:00:00,8.26451,
2019-05-15T21:00:00,9.44549,
2019-05-15T22:00:00,9.59301,
2019-05-15T23:00:00,15.8688,
2019-05-16T00:00:00,10.1807,
2019-05-16T01:00:00,11.976,
2019-05-16T02:00:00,3.81349,
2019-05-16T03:00:00,14.048,
2019-05-16T04:00:00,2.55257,
2019-05-16T05:00:00,3.45436,
2019-05-16T06:00:00,2.88982,
2019-05-16T07:00:00,7.4633,
2019-05-16T08:00:00,3.09891,
2019-05-16T09:00:00,0.28161,
2019-05-16T10:00:00,7.35384,
2019-05-16T11:00:00,6.21863,
2019-05-16T12:00:00,9.78998,
2019-05-16T13:00:00,9.59777,
2019-05-16T14:00:00,13.9548,
2019-05-16T15:00:00,15.8739,
2019-05-16T16:00:00,15.2409,
2019-05-16T17:00:00,17.4956,
2019-05-16T18:00:00,14.3312,
2019-05-16T19:00:00,17.4849,
2019-05-16T20:00:00,18.8963,
2019-05-16T21:00:00,28.7334,
2019-05-16T22:00:00,27.8832,
2019-05-16T23:00:00,38.6504,
2019-05-17T00:00:00,20.4766,
2019-05-17T01:00:00,21.0075,
2019-05-17T02:00:00,14.7904,
2019-05-17T03:00:00,13.2151,
2019-05-17T04:00:00,15.8306,
2019-05-17T05:00:00,25.1717,
2019-05-17T06:00:00,24.9251,
2019-05-17T07:00:00,75.0763,
2019-05-17T08:00:00,50.8043,
2019-05-17T09:00:00,26.82,
2019-05-17T10:00:00,24.6284,
2019-05-17T11:00:00,16.5998,
2019-05-17T12:00:00,12.2016,
2019-05-17T13:00:00,11.1631,
2019-05-17T14:00:00,9.44723,
2019-05-17T15:00:00,12.8213,
2019-05-17T16:00:00,7.36925,
2019-05-17T17:00:00,10.6075,
2019-05-17T18:00:00,16.0708,
2019-05-17T19:00:00,10.9259,
2019-05-17T20:00:00,13.4258,
2019-05-17T21:00:00,17.7078,
2019-05-17T22:00:00,12.6047,
2019-05-17T23:00:00,9.184,
2019-05-18T00:00:00,12.9364,
2019-05-18T01:00:00,12.0472,
